rank,category,candidate,research_status,osm_treatment,notes
1,Cloud / hyperscaler,AWS,RESEARCHED,ICT Provider `aws`,Legal seller Amazon Web Services; EU CTPP is AWS EMEA SARL (not stored). Class A/B public facts encoded; contract/risk C unset.
2,Cloud / hyperscaler,Microsoft Azure,RESEARCHED,ICT Provider `microsoft` plus Azure offerings,Azure is not a separate legal entity from Microsoft Corporation. MIOL is EU CTPP.
3,Cloud / hyperscaler,Google Cloud,RESEARCHED,ICT Provider `google-cloud`,Google LLC / local Cloud entities. EMEA contractor often Google Cloud EMEA Limited.
4,Cloud / hyperscaler,Oracle Cloud Infrastructure,RESEARCHED,ICT Provider `oracle` plus OCI Compute offering,CTPP is Oracle Nederland B.V.
5,Cloud / hyperscaler,IBM Cloud,RESEARCHED,ICT Provider `ibm`,Red Hat kept as a separate provider.
6,Cloud / hyperscaler,Alibaba Cloud,RESEARCHED,ICT Provider `alibaba-cloud`,`headquarters: cn` collapses Cayman parent and Singapore international HQ.
7,Cloud / hyperscaler,Cloudflare,RESEARCHED,ICT Provider `cloudflare`; Services `net.cdn-waf` and `net.ztna`,Type `network-provider` is a compromise vs cloud-platform. Not an ESA CTPP.
8,Compute,Amazon EC2,RESEARCHED,Offering `compute.virtual-machines.aws-ec2`,Vendor SLA as characteristic not availability_target.
9,Compute,Azure Virtual Machines,RESEARCHED,Offering `compute.virtual-machines.azure-vm`,SLA configuration-conditional.
10,Compute,Google Compute Engine,RESEARCHED,Offering `compute.virtual-machines.gce`,
11,Storage,Amazon S3,RESEARCHED,Offering `storage.object-storage.aws-s3`,Class-conditional SLA; durability claims are not the SLA.
12,Storage,Azure Blob Storage,RESEARCHED,Offering `storage.object-storage.azure-blob`,
13,Storage,Google Cloud Storage,RESEARCHED,Offering `storage.object-storage.gcs`,
14,Database,Amazon RDS,RESEARCHED,Offering `db.managed-relational.aws-rds`,Aurora not merged into this offering.
15,Database,Azure SQL Database,RESEARCHED,Offering `db.managed-relational.azure-sql`,Not Managed Instance or SQL on VMs.
16,Database,Google Cloud SQL,RESEARCHED,Offering `db.managed-relational.cloud-sql`,
17,Kubernetes,Amazon EKS,RESEARCHED,Offering `compute.kubernetes.aws-eks`,Control-plane SLA only.
18,Kubernetes,Azure Kubernetes Service,RESEARCHED,Offering `compute.kubernetes.azure-aks`,Free tier has no financially backed SLA.
19,Kubernetes,Google Kubernetes Engine,RESEARCHED,Offering `compute.kubernetes.gke`,
20,Serverless,AWS Lambda,RESEARCHED,Offering `compute.functions.aws-lambda`,
21,Serverless,Azure Functions,RESEARCHED,Offering `compute.functions.azure-functions`,
22,Serverless,Google Cloud Run,RESEARCHED,Offering `compute.functions.cloud-run` (mismatch test),CaaS not functions; execution_model characteristic records the mismatch.
23,Networking,Amazon VPC,RESEARCHED,Offering `net.virtual-network.aws-vpc`,No general VPC SLA; NAT Gateway 99.9% only.
24,Networking,Azure Virtual Network,RESEARCHED,Offering `net.virtual-network.azure-vnet`,
25,Networking,Google VPC,RESEARCHED,Offering `net.virtual-network.gcp-vpc`,
26,Identity,AWS IAM,RESEARCHED,Offering `identity.cloud-authorization.aws-iam`,Not an enterprise IdP. No public SLA found.
27,Identity,Microsoft Entra ID,RESEARCHED,Offering `identity.directory-idp.entra-id`,Shared substrate for M365 and Azure.
28,Identity,Google Cloud IAM,RESEARCHED,Offering `identity.cloud-authorization.gcp-iam`,Officially no SLA.
29,Infrastructure,Kubernetes,RESEARCHED,Not a Service/Provider; `compute.kubernetes.self-operated` has no provider,CNCF project.
30,Infrastructure,Docker,RESEARCHED NOT ENCODED,Product/runtime/Hub name collision,Do not catalog as Service or ICT Provider.
31,Infrastructure,VMware vSphere,RESEARCHED NOT ENCODED AS SERVICE,ICT Provider `broadcom` available,Product family; catalog VM compute if the estate offers it.
32,Infrastructure,VMware Cloud Foundation,RESEARCHED NOT ENCODED AS SERVICE,ICT Provider `broadcom` available,Same as vSphere.
33,Infrastructure,Red Hat OpenShift,RESEARCHED,Offering `compute.kubernetes.openshift-ibm-cloud` (managed on IBM Cloud),Self-managed OpenShift would list `redhat` as software-vendor; not separately encoded.
34,Infrastructure,Red Hat Enterprise Linux,RESEARCHED NOT ENCODED,ICT Provider `redhat` only,OS is not a technological Service.
35,Infrastructure,Ubuntu,RESEARCHED NOT ENCODED,Not encoded,OS; Canonical not added as provider without a Pro/managed contract in evidence.
36,Infrastructure as Code,Terraform,RESEARCHED,Service `auto.infrastructure-as-code`,Self-operated offering has no provider; HCP Terraform providers `[ibm]`.
37,Automation,Ansible,RESEARCHED NOT ENCODED,Product/engine,Encode an automation Service only if the enterprise offers one.
